コントロールカラム,商品管理番号（商品URL）,商品番号,商品名,倉庫指定,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名
"","trcs-c2","TRCF-NSS","公式／ トゥルースリーパープレミアケア 布団タイプ シングル マットレス2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-c2m","TRCSNCMI","【正規品】トゥルースリーパー プレミアケア セミダブル+カバー2枚セット<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-c2q","TRCSNCQI","【正規品】トゥルースリーパー プレミアケア クイーン+カバー2枚セット<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-c2s","TRCSNCSI","【正規品】トゥルースリーパー プレミアケア シングル+カバー2枚セット<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-c2w","TRCSNCWI","【正規品】トゥルースリーパー プレミアケア ダブル+カバー2枚セット<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-cm2","TRCF-NMM","公式／ トゥルースリーパー プレミアケア 布団タイプ セミダブル＋セミダブルマットレス2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-cw2","TRCF-NWW","公式／トゥルースリーパー プレミアケア 布団タイプ ダブル＋ダブルマットレス2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-g","TRCF-NSC","公式／トゥルースリーパー プレミアケア 布団タイプ（シングル）本体＋敷きパッド付きセット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-m2s","TRCS-SC2","公式／ トゥルースリーパーコンフォート シングル マットレス2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-mm","TRCS-NMM","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット セミダブル×セミダブル<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-ms","TRCSSC2M","公式／ トゥルースリーパー コンフォート セミダブル＋シングルマットレス2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-pm","TRCSSPSM","公式／トゥルースリーパー コンフォート（セミダブル）本体＋敷きパッドセット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-ppm","TRCS-SGM","公式／トゥルースリーパー コンフォート（セミダブル）本体＋敷きパッド＋ピロー付きセット<br>今なら送料無料＆低反発まくら付き！お値段そのまま！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","1","",""
"","trcs-pps","TRCS-SG","公式／トゥルースリーパー コンフォート（シングル）本体＋敷きパッド＋ピロー付きセット<br>今なら送料無料＆低反発まくら付き！特典付でもお値段そのまま！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","1","",""
"","trcs-ppw","TRCS-SGW","公式／トゥルースリーパー コンフォート（ダブル）本体＋敷きパッド＋ピロー付きセット<br>今なら送料無料＆低反発まくら付き！特典付でもお値段そのまま！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","1","",""
"","trcs-ps","TRCS-SPS","公式／トゥルースリーパー コンフォート（シングル）本体＋敷きパッドセット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-pw","TRCSSPSW","公式／トゥルースリーパー コンフォート（ダブル）本体＋敷きパッドセット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-qq","TRCS-NQQ","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット クイーン×クイーン<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-sgm","TRCSSPSM","公式／トゥルースリーパー プレミアケア 布団タイプ（セミダブル）本体＋敷きパッドセット<br>今なら送料無料！でもお値段そのまま！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","1","",""
"","trcs-sgw","TRCF-NSW","公式／トゥルースリーパー プレミアケア 布団タイプ（シングル+ダブル）本体＋2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-sm","TRCS-NSM","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット シングル×セミダブル<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-sp","TRCF-NSM","公式／トゥルースリーパー プレミアケア 布団タイプ（シングル+セミダブル）本体2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-sq","TRCS-NSQ","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット シングル×クイーン<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-ss","TRCS-NSS","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット シングル×シングル<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-sw","TRCS-NSW","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット シングル×ダブル<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs-ws","TRCSSC2W","公式／トゥルースリーパー コンフォート ダブル＋シングルマットレス2枚セット<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","trcs-ww","TRCS-NWW","【正規品】トゥルースリーパー プレミアケア マットレス2枚セット ダブル×ダブル<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","0","",""
"","trcs_1219a","RAK-TRP1","トゥルースリーパー プレミアケア スタンダード 楽天限定セット（シングル）【送料無料】＼数量限定／","0","",""
"","trcs_1219aa","RAK-TRP1","【楽天×ショップジャパンSALE】トゥルースリーパー プレミアケア スタンダード 楽天限定セット（シングル）【送料無料】＼限定280個／","1","",""
"","trcs_1219b","RAK-TRP2","トゥルースリーパー プレミアケア スタンダード 楽天限定　デザインカバー 小花×バード オリジナルカバーセット（シングル）【送料無料】","0","",""
"","trcs_1219bb","RAK-TRP2","【楽天×ショップジャパンSALE】トゥルースリーパー プレミアケア スタンダード 楽天限定　デザインカバー 小花×バード オリジナルカバーセット（シングル）【送料無料】","1","",""
"","trcs_1219c","RAK-TRP3","トゥルースリーパー プレミアケア スタンダード 楽天限定　デザインカバー　ワイルドウッド オリジナルカバーセット（シングル）【送料無料】","0","",""
"","trcs_1219cc","RAK-TRP3","【楽天×ショップジャパンSALE】トゥルースリーパー プレミアケア スタンダード 楽天限定　デザインカバー　ワイルドウッド オリジナルカバーセット（シングル）【送料無料】","1","",""
